Sector,20MA,50MA,200MA,RSI>50,WeeklyReturn,StocksOK,StocksTotal,EdgeScore,Rank,RelativeEdge,Status,DataWarning
Auto Index,73.33,86.67,86.67,80.0,26.67,15,15,71.34,1,30.76,Strong,OK
Metal Index,53.33,73.33,66.67,60.0,33.33,15,15,58.0,2,17.42,Moderate,OK
Realty Index,40.0,60.0,80.0,50.0,30.0,10,10,54.0,3,13.42,Moderate,OK
Bank Index,42.86,64.29,64.29,85.71,0.0,14,14,52.5,4,11.92,Moderate,OK
Oil & Gas Index,60.0,53.33,60.0,60.0,26.67,15,15,52.0,5,11.42,Moderate,OK
IT Index,50.0,100.0,50.0,50.0,0.0,10,10,50.0,6,9.42,Moderate,OK
Pharma Index,45.0,50.0,80.0,50.0,15.0,20,20,49.75,7,9.17,Moderate,OK
MNC Index,50.0,56.67,60.0,56.67,6.67,30,30,46.5,8,5.92,Moderate,OK
Consumption Index,40.0,56.67,56.67,50.0,23.33,30,30,46.17,9,5.59,Moderate,OK
Pvt Bank Index,30.0,50.0,60.0,70.0,0.0,10,10,43.5,10,2.92,Moderate,OK
Media Index,30.0,50.0,60.0,20.0,40.0,10,10,41.5,11,0.92,Moderate,OK
Consumer Durables Index,33.33,53.33,53.33,33.33,26.67,15,15,41.0,12,0.42,Moderate,OK
Healthcare Index,30.0,40.0,65.0,35.0,20.0,20,20,39.75,13,-0.83,Weak,OK
PSU Bank Index,50.0,41.67,41.67,58.33,0.0,12,12,37.92,14,-2.66,Weak,OK
Service Sector Index,13.33,53.33,46.67,40.0,13.33,30,30,35.0,15,-5.58,Weak,OK
Energy Index,32.5,25.0,47.5,42.5,10.0,40,40,32.25,16,-8.33,Weak,OK
Infrastructure Index,20.0,30.0,50.0,33.33,10.0,30,30,30.17,17,-10.41,Weak,OK
Commodities Index,26.67,26.67,36.67,30.0,6.67,30,30,25.84,18,-14.74,Weak,OK
Financial Services Index,15.0,35.0,35.0,35.0,0.0,20,20,25.0,19,-15.58,Weak,OK
FMCG index,13.33,33.33,26.67,20.0,13.33,15,15,22.0,20,-18.58,Weak,OK
PSE Index,25.0,25.0,30.0,25.0,0.0,20,20,21.25,21,-19.33,Weak,OK
CPSE Index,27.27,27.27,9.09,27.27,0.0,11,11,17.27,22,-23.31,No Edge,OK
