sector,stock,last_date,last_close,ma20_value,above_20ma,ma50_value,above_50ma,ma200_value,above_200ma,rsi_value,rsi_above_50,prev_close_5d,weekly_return_pct,weekly_return_positive
Auto Index,ASHOKLEY,2026-03-30,154.13,180.74,0,192.2608,0,153.3553,1,29.6388,0,168.89,-8.7394,0
Auto Index,BAJAJ-AUTO,2026-03-30,8781.5,9257.875,0,9490.89,0,8967.5422,0,39.0934,0,9051.0,-2.9776,0
Auto Index,BHARATFORG,2026-03-30,1674.6,1778.79,0,1671.3955,1,1384.5973,1,34.914,0,1711.5,-2.156,0
Auto Index,BOSCHLTD,2026-03-30,28745.0,31456.5,0,34200.9,0,36564.9261,0,33.1563,0,30390.0,-5.413,0
Auto Index,EICHERMOT,2026-03-30,6586.0,7151.025,0,7359.13,0,6708.3595,0,37.1601,0,6909.0,-4.6751,0
Auto Index,EXIDEIND,2026-03-30,287.9,307.3075,0,323.616,0,369.5515,0,39.3832,0,302.65,-4.8736,0
Auto Index,HEROMOTOCO,2026-03-30,5063.0,5379.525,0,5481.4441,0,5205.0337,0,39.443,0,5275.5,-4.0281,0
Auto Index,M&M,2026-03-30,2954.7,3144.53,0,3375.492,0,3433.3014,0,41.6708,0,3066.1001,-3.6333,0
Auto Index,MARUTI,2026-03-30,12306.0,13232.65,0,14417.86,0,14725.6476,0,33.0704,0,12601.0,-2.3411,0
Auto Index,MOTHERSON,2026-03-30,105.08,116.9867,0,119.77,0,109.273,0,36.1624,0,111.2448,-5.5416,0
Auto Index,SONACOMS,2026-03-30,481.5,503.68,0,505.5121,0,474.9099,1,44.3563,0,506.25,-4.8889,0
Auto Index,TIINDIA,2026-03-30,2517.3,2601.215,0,2493.7616,1,2828.5015,0,44.7799,0,2537.3,-0.7882,0
Auto Index,TMPV,2026-03-30,296.2,328.855,0,351.259,0,,0,34.8945,0,314.1,-5.6988,0
Auto Index,TVSMOTOR,2026-03-30,3363.8,3569.655,0,3677.53,0,3413.372,0,40.241,0,3462.2,-2.8421,0
Auto Index,UNOMINDA,2026-03-30,1031.6,1078.66,0,1145.4931,0,1195.4827,0,43.7945,0,1067.0,-3.3177,0
Bank Index,AUBANK,2026-03-30,842.7,912.5975,0,960.818,0,864.2336,0,35.9234,0,901.5,-6.5225,0
Bank Index,AXISBANK,2026-03-30,1161.3,1256.09,0,1306.194,0,1213.0587,0,33.9077,0,1203.9,-3.5385,0
Bank Index,BANKBARODA,2026-03-30,247.6,284.5775,0,293.828,0,270.174,0,27.0301,0,279.95,-11.5556,0
Bank Index,CANBK,2026-03-30,123.45,139.0025,0,146.2912,0,131.3114,0,33.5466,0,136.44,-9.5207,0
Bank Index,FEDERALBNK,2026-03-30,259.4,272.795,0,280.22,0,236.2341,1,41.0668,0,267.1,-2.8828,0
Bank Index,HDFCBANK,2026-03-30,731.55,821.56,0,884.235,0,958.5572,0,28.9813,0,780.45,-6.2656,0
Bank Index,ICICIBANK,2026-03-30,1205.9,1285.76,0,1348.272,0,1385.9084,0,37.1681,0,1245.4,-3.1717,0
Bank Index,IDFCFIRSTB,2026-03-30,58.85,65.341,0,75.1808,0,75.5253,0,31.1577,0,62.95,-6.5131,0
Bank Index,INDUSINDBK,2026-03-30,752.45,852.33,0,894.419,0,832.9513,0,29.3901,0,818.6,-8.0809,0
Bank Index,KOTAKBANK,2026-03-30,353.4,380.535,0,404.731,0,416.1562,0,31.7249,0,366.75,-3.6401,0
Bank Index,PNB,2026-03-30,100.56,114.04,0,120.7986,0,115.5449,0,31.1019,0,111.53,-9.8359,0
Bank Index,SBIN,2026-03-30,979.4,1087.145,0,1106.855,0,937.9957,1,28.2585,0,1058.0,-7.4291,0
Bank Index,UNIONBANK,2026-03-30,164.2,180.7705,0,181.7264,0,153.0356,1,39.9838,0,177.63,-7.5607,0
Bank Index,YESBANK,2026-03-30,17.25,19.0555,0,20.4624,0,20.9832,0,29.0941,0,18.58,-7.1582,0
CPSE Index,BEL,2026-03-30,400.65,437.0598,0,433.4569,0,408.4356,0,24.867,0,426.1,-5.9728,0
CPSE Index,COALINDIA,2026-03-30,450.45,449.18,1,433.6048,1,388.6061,1,56.3618,1,468.15,-3.7808,0
CPSE Index,COCHINSHIP,2026-03-30,1193.1,1382.345,0,1461.1548,0,1695.5033,0,26.3263,0,1341.5,-11.0622,0
CPSE Index,NBCC,2026-03-30,77.52,84.629,0,93.0601,0,107.2651,0,40.5153,0,83.91,-7.6153,0
CPSE Index,NHPC,2026-03-30,73.72,75.011,0,75.9016,0,79.9057,0,52.6316,1,76.8,-4.0104,0
CPSE Index,NLCINDIA,2026-03-30,268.6,257.7325,1,257.4517,1,246.8846,1,67.7538,1,266.35,0.8448,0
CPSE Index,NTPC,2026-03-30,370.65,378.2125,0,366.6199,1,337.9594,1,45.4766,0,380.95,-2.7038,0
CPSE Index,OIL,2026-03-30,475.45,476.455,0,469.8814,1,428.0335,1,50.6783,1,475.5,-0.0105,0
CPSE Index,ONGC,2026-03-30,284.65,271.7275,1,264.2532,1,240.026,1,65.3718,1,265.4,7.2532,1
CPSE Index,POWERGRID,2026-03-30,296.1,298.0425,0,286.8027,1,278.0819,1,51.3975,1,297.6,-0.504,0
CPSE Index,SJVN,2026-03-30,63.35,69.2535,0,71.6752,0,83.5907,0,36.3592,0,70.08,-9.6033,0
Commodities Index,ADANIENSOL,2026-03-30,934.9,987.6475,0,973.552,0,921.6818,1,42.7502,0,1009.9,-7.4265,0
Commodities Index,ADANIGREEN,2026-03-30,806.9,862.425,0,904.161,0,984.2177,0,40.0547,0,863.1,-6.5114,0
Commodities Index,ADANIPOWER,2026-03-30,150.43,146.491,1,144.1794,1,137.5125,1,63.9891,1,151.54,-0.7325,0
Commodities Index,AMBUJACEM,2026-03-30,401.25,441.8725,0,494.101,0,549.4848,0,33.8432,0,420.55,-4.5892,0
Commodities Index,APLAPOLLO,2026-03-30,1937.0,2030.68,0,2087.69,0,1821.6059,1,38.535,0,1973.1,-1.8296,0
Commodities Index,BPCL,2026-03-30,281.0,317.0875,0,347.1875,0,331.8554,0,22.1853,0,287.8,-2.3627,0
Commodities Index,COALINDIA,2026-03-30,450.45,449.18,1,433.6048,1,388.6061,1,56.3618,1,468.15,-3.7808,0
Commodities Index,GRASIM,2026-03-30,2557.7,2665.22,0,2774.514,0,2784.3994,0,42.3586,0,2616.3,-2.2398,0
Commodities Index,HINDALCO,2026-03-30,884.45,915.9025,0,932.278,0,803.3755,1,38.0682,0,874.25,1.1667,1
Commodities Index,HINDPETRO,2026-03-30,335.4,369.2,0,414.53,0,426.6835,0,31.6536,0,336.3,-0.2676,0
Commodities Index,IOC,2026-03-30,135.4,154.0269,0,162.5823,0,150.4746,0,20.216,0,144.6,-6.3624,0
Commodities Index,JINDALSTEL,2026-03-30,1113.1,1165.49,0,1159.638,0,1045.0183,1,46.6009,0,1186.5,-6.1863,0
Commodities Index,JSWENERGY,2026-03-30,471.6,492.1025,0,483.555,0,506.4907,0,46.981,0,507.05,-6.9914,0
Commodities Index,JSWSTEEL,2026-03-30,1122.5,1177.505,0,1205.894,0,1127.1387,0,41.3606,0,1169.6,-4.027,0
Commodities Index,NHPC,2026-03-30,73.72,75.011,0,75.9016,0,79.9057,0,52.6316,1,76.8,-4.0104,0
Commodities Index,NMDC,2026-03-30,76.27,78.655,0,79.4142,0,73.7445,1,42.6289,0,79.78,-4.3996,0
Commodities Index,NTPC,2026-03-30,370.65,378.2125,0,366.6199,1,337.9594,1,45.4766,0,380.95,-2.7038,0
Commodities Index,OIL,2026-03-30,475.45,476.455,0,469.8814,1,428.0335,1,50.6783,1,475.5,-0.0105,0
Commodities Index,ONGC,2026-03-30,284.65,271.7275,1,264.2532,1,240.026,1,65.3718,1,265.4,7.2532,1
Commodities Index,PIDILITIND,2026-03-30,1285.0,1378.81,0,1432.2,0,1479.5789,0,38.3018,0,1341.3,-4.1974,0
Commodities Index,PIIND,2026-03-30,2718.8,2944.715,0,3065.8731,0,3535.2468,0,30.834,0,2909.5,-6.5544,0
Commodities Index,RELIANCE,2026-03-30,1343.9,1390.585,0,1410.42,0,1446.2813,0,30.8098,0,1414.4,-4.9844,0
Commodities Index,SHREECEM,2026-03-30,23020.0,24008.75,0,25764.8,0,28074.1043,0,45.7078,0,23535.0,-2.1882,0
Commodities Index,SRF,2026-03-30,2438.0,2519.955,0,2693.8958,0,2920.0158,0,44.6642,0,2454.5,-0.6722,0
Commodities Index,TATAPOWER,2026-03-30,378.75,386.0325,0,375.133,1,386.7063,0,53.1469,1,402.4,-5.8772,0
Commodities Index,TATASTEEL,2026-03-30,191.86,195.079,0,197.4648,0,175.0368,1,50.6805,1,196.77,-2.4953,0
Commodities Index,TORNTPOWER,2026-03-30,1305.8,1444.465,0,1423.4735,0,1336.6718,0,34.2139,0,1450.7,-9.9883,0
Commodities Index,ULTRACEMCO,2026-03-30,10745.0,11355.65,0,12173.52,0,12100.2548,0,42.7591,0,10934.0,-1.7286,0
Commodities Index,UPL,2026-03-30,567.95,617.865,0,681.22,0,703.0894,0,35.1934,0,625.55,-9.2079,0
Commodities Index,VEDL,2026-03-30,654.8,690.49,0,689.375,0,534.2997,1,34.7995,0,672.2,-2.5885,0
Consumer Durables Index,AMBER,2026-03-30,6549.0,7042.075,0,6892.06,0,7253.005,0,36.7726,0,6654.5,-1.5854,0
Consumer Durables Index,BATAINDIA,2026-03-30,607.5,692.175,0,790.868,0,1033.8299,0,24.6019,0,663.3,-8.4125,0
Consumer Durables Index,BLUESTARCO,2026-03-30,1610.7,1813.59,0,1846.068,0,1825.2008,0,31.0927,0,1708.6,-5.7298,0
